id,target
nxpucs3000,0
nxpucs3001,0
nxpucs3002,0
nxpucs3003,0
nxpucs3004,1
nxpucs3005,0
nxpucs3006,4
nxpucs3007,0
nxpucs3008,1
nxpucs3009,1
nxpucs3010,0
nxpucs3011,3
nxpucs3012,2
nxpucs3013,0
nxpucs3014,0
nxpucs3015,1
nxpucs3016,3
nxpucs3017,2
nxpucs3018,1
nxpucs3019,0
nxpucs3020,2
nxpucs3021,3
nxpucs3022,4
nxpucs3023,3
nxpucs3024,4
nxpucs3025,0
nxpucs3026,3
nxpucs3027,4
nxpucs3028,0
nxpucs3029,2
nxpucs3030,2
nxpucs3031,1
nxpucs3032,2
nxpucs3033,0
nxpucs3034,1
nxpucs3035,3
nxpucs3036,3
nxpucs3037,1
nxpucs3038,3
nxpucs3039,1
nxpucs3040,3
nxpucs3041,3
nxpucs3042,1
nxpucs3043,4
nxpucs3044,0
nxpucs3045,0
nxpucs3046,3
nxpucs3047,0
nxpucs3048,0
nxpucs3049,1
nxpucs3050,4
nxpucs3051,4
nxpucs3052,0
nxpucs3053,4
nxpucs3054,0
nxpucs3055,4
nxpucs3056,1
nxpucs3057,4
nxpucs3058,2
nxpucs3059,2
nxpucs3060,1
nxpucs3061,4
nxpucs3062,2
nxpucs3063,4
nxpucs3064,0
nxpucs3065,0
nxpucs3066,2
nxpucs3067,1
nxpucs3068,2
nxpucs3069,0
nxpucs3070,0
nxpucs3071,1
nxpucs3072,4
nxpucs3073,1
nxpucs3074,3
nxpucs3075,0
nxpucs3076,0
nxpucs3077,0
nxpucs3078,0
nxpucs3079,4
nxpucs3080,0
nxpucs3081,2
nxpucs3082,2
nxpucs3083,2
nxpucs3084,2
nxpucs3085,0
nxpucs3086,0
nxpucs3087,3
nxpucs3088,0
nxpucs3089,1
nxpucs3090,0
nxpucs3091,2
nxpucs3092,2
nxpucs3093,1
nxpucs3094,0
nxpucs3095,2
nxpucs3096,2
nxpucs3097,0
nxpucs3098,1
nxpucs3099,0
nxpucs3100,4
nxpucs3101,0
nxpucs3102,2
nxpucs3103,0
nxpucs3104,2
nxpucs3105,4
nxpucs3106,0
nxpucs3107,1
nxpucs3108,4
nxpucs3109,3
nxpucs3110,2
nxpucs3111,1
nxpucs3112,0
nxpucs3113,1
nxpucs3114,0
nxpucs3115,0
nxpucs3116,1
nxpucs3117,4
nxpucs3118,0
nxpucs3119,3
nxpucs3120,2
nxpucs3121,2
nxpucs3122,2
nxpucs3123,0
nxpucs3124,3
nxpucs3125,2
nxpucs3126,2
nxpucs3127,0
nxpucs3128,0
nxpucs3129,4
nxpucs3130,0
nxpucs3131,0
nxpucs3132,1
nxpucs3133,3
nxpucs3134,2
nxpucs3135,1
nxpucs3136,3
nxpucs3137,0
nxpucs3138,4
nxpucs3139,4
nxpucs3140,0
nxpucs3141,0
nxpucs3142,0
nxpucs3143,2
nxpucs3144,2
nxpucs3145,2
nxpucs3146,3
nxpucs3147,0
nxpucs3148,2
nxpucs3149,1
nxpucs3150,0
nxpucs3151,0
nxpucs3152,2
nxpucs3153,1
nxpucs3154,2
nxpucs3155,0
nxpucs3156,0
nxpucs3157,1
nxpucs3158,1
nxpucs3159,4
nxpucs3160,4
nxpucs3161,0
nxpucs3162,0
nxpucs3163,2
nxpucs3164,1
nxpucs3165,1
nxpucs3166,4
nxpucs3167,0
nxpucs3168,0
nxpucs3169,4
nxpucs3170,1
nxpucs3171,2
nxpucs3172,0
nxpucs3173,0
nxpucs3174,1
nxpucs3175,2
nxpucs3176,2
nxpucs3177,2
nxpucs3178,2
nxpucs3179,0
nxpucs3180,1
nxpucs3181,2
nxpucs3182,0
nxpucs3183,0
nxpucs3184,3
nxpucs3185,0
nxpucs3186,4
nxpucs3187,0
nxpucs3188,0
nxpucs3189,4
nxpucs3190,2
nxpucs3191,0
nxpucs3192,2
nxpucs3193,0
nxpucs3194,3
nxpucs3195,2
nxpucs3196,4
nxpucs3197,0
nxpucs3198,4
nxpucs3199,4
nxpucs3200,0
nxpucs3201,0
nxpucs3202,4
nxpucs3203,3
nxpucs3204,0
nxpucs3205,2
nxpucs3206,0
nxpucs3207,0
nxpucs3208,4
nxpucs3209,4
nxpucs3210,3
nxpucs3211,0
nxpucs3212,4
nxpucs3213,1
nxpucs3214,4
nxpucs3215,3
nxpucs3216,0
nxpucs3217,4
nxpucs3218,2
nxpucs3219,0
nxpucs3220,1
nxpucs3221,2
nxpucs3222,0
nxpucs3223,0
nxpucs3224,1
nxpucs3225,2
nxpucs3226,0
nxpucs3227,1
nxpucs3228,0
nxpucs3229,3
nxpucs3230,0
nxpucs3231,4
nxpucs3232,0
nxpucs3233,3
nxpucs3234,2
nxpucs3235,4
nxpucs3236,4
nxpucs3237,4
nxpucs3238,0
nxpucs3239,2
nxpucs3240,0
nxpucs3241,0
nxpucs3242,4
nxpucs3243,0
nxpucs3244,0
nxpucs3245,1
nxpucs3246,2
nxpucs3247,0
nxpucs3248,3
nxpucs3249,3
nxpucs3250,0
nxpucs3251,0
nxpucs3252,3
nxpucs3253,3
nxpucs3254,3
nxpucs3255,2
nxpucs3256,1
nxpucs3257,4
nxpucs3258,3
nxpucs3259,0
nxpucs3260,2
nxpucs3261,0
nxpucs3262,2
nxpucs3263,2
nxpucs3264,2
nxpucs3265,4
nxpucs3266,2
nxpucs3267,3
nxpucs3268,4
nxpucs3269,2
nxpucs3270,1
nxpucs3271,2
nxpucs3272,0
nxpucs3273,0
nxpucs3274,0
nxpucs3275,2
nxpucs3276,3
nxpucs3277,0
nxpucs3278,2
nxpucs3279,0
nxpucs3280,4
nxpucs3281,1
nxpucs3282,4
nxpucs3283,2
nxpucs3284,0
nxpucs3285,4
nxpucs3286,2
nxpucs3287,4
nxpucs3288,0
nxpucs3289,0
nxpucs3290,1
nxpucs3291,4
nxpucs3292,4
nxpucs3293,0
nxpucs3294,4
nxpucs3295,2
nxpucs3296,1
nxpucs3297,0
nxpucs3298,2
nxpucs3299,0
nxpucs3300,0
nxpucs3301,3
nxpucs3302,3
nxpucs3303,4
nxpucs3304,1
nxpucs3305,4
nxpucs3306,4
nxpucs3307,1
nxpucs3308,4
nxpucs3309,0
nxpucs3310,3
nxpucs3311,2
nxpucs3312,2
nxpucs3313,4
nxpucs3314,2
nxpucs3315,4
nxpucs3316,4
nxpucs3317,4
nxpucs3318,4
nxpucs3319,2
nxpucs3320,3
nxpucs3321,0
nxpucs3322,0
nxpucs3323,3
nxpucs3324,0
nxpucs3325,3
nxpucs3326,0
nxpucs3327,0
nxpucs3328,2
nxpucs3329,0
nxpucs3330,1
nxpucs3331,1
nxpucs3332,3
nxpucs3333,0
nxpucs3334,0
nxpucs3335,1
nxpucs3336,4
