id,target
nxpucs3000,1
nxpucs3001,1
nxpucs3002,0
nxpucs3003,0
nxpucs3004,0
nxpucs3005,0
nxpucs3006,0
nxpucs3007,0
nxpucs3008,0
nxpucs3009,0
nxpucs3010,1
nxpucs3011,0
nxpucs3012,1
nxpucs3013,1
nxpucs3014,0
nxpucs3015,0
nxpucs3016,0
nxpucs3017,1
nxpucs3018,1
nxpucs3019,0
nxpucs3020,1
nxpucs3021,0
nxpucs3022,0
nxpucs3023,0
nxpucs3024,1
nxpucs3025,0
nxpucs3026,1
nxpucs3027,0
nxpucs3028,0
nxpucs3029,0
nxpucs3030,1
nxpucs3031,1
nxpucs3032,1
nxpucs3033,0
nxpucs3034,1
nxpucs3035,0
nxpucs3036,1
nxpucs3037,0
nxpucs3038,0
nxpucs3039,1
nxpucs3040,1
nxpucs3041,1
nxpucs3042,0
nxpucs3043,0
nxpucs3044,0
nxpucs3045,1
nxpucs3046,0
nxpucs3047,1
nxpucs3048,1
nxpucs3049,0
nxpucs3050,0
nxpucs3051,0
nxpucs3052,1
nxpucs3053,0
nxpucs3054,0
nxpucs3055,0
nxpucs3056,0
nxpucs3057,1
nxpucs3058,0
nxpucs3059,1
nxpucs3060,0
nxpucs3061,0
nxpucs3062,0
nxpucs3063,1
nxpucs3064,0
nxpucs3065,1
nxpucs3066,1
nxpucs3067,1
nxpucs3068,1
nxpucs3069,0
nxpucs3070,0
nxpucs3071,0
nxpucs3072,0
nxpucs3073,0
nxpucs3074,0
nxpucs3075,0
nxpucs3076,0
nxpucs3077,0
nxpucs3078,0
nxpucs3079,0
nxpucs3080,1
nxpucs3081,0
nxpucs3082,0
nxpucs3083,0
nxpucs3084,1
nxpucs3085,0
nxpucs3086,0
nxpucs3087,1
nxpucs3088,0
nxpucs3089,1
nxpucs3090,1
nxpucs3091,1
nxpucs3092,0
nxpucs3093,1
nxpucs3094,0
nxpucs3095,0
nxpucs3096,0
nxpucs3097,0
nxpucs3098,0
nxpucs3099,0
nxpucs3100,0
nxpucs3101,0
nxpucs3102,0
nxpucs3103,0
nxpucs3104,0
nxpucs3105,0
nxpucs3106,0
nxpucs3107,0
nxpucs3108,0
nxpucs3109,0
nxpucs3110,0
nxpucs3111,1
nxpucs3112,1
nxpucs3113,1
nxpucs3114,1
nxpucs3115,0
nxpucs3116,0
nxpucs3117,0
nxpucs3118,0
nxpucs3119,0
nxpucs3120,1
nxpucs3121,0
nxpucs3122,1
nxpucs3123,1
nxpucs3124,1
nxpucs3125,1
nxpucs3126,0
nxpucs3127,0
nxpucs3128,0
nxpucs3129,1
nxpucs3130,1
nxpucs3131,1
nxpucs3132,0
nxpucs3133,1
nxpucs3134,0
nxpucs3135,0
nxpucs3136,1
nxpucs3137,1
nxpucs3138,1
nxpucs3139,1
nxpucs3140,0
nxpucs3141,0
nxpucs3142,0
nxpucs3143,0
nxpucs3144,0
nxpucs3145,0
nxpucs3146,0
nxpucs3147,1
nxpucs3148,0
nxpucs3149,0
nxpucs3150,0
nxpucs3151,0
nxpucs3152,0
nxpucs3153,0
nxpucs3154,1
nxpucs3155,0
nxpucs3156,1
nxpucs3157,0
nxpucs3158,0
nxpucs3159,0
nxpucs3160,0
nxpucs3161,1
nxpucs3162,0
nxpucs3163,0
nxpucs3164,0
nxpucs3165,0
nxpucs3166,0
nxpucs3167,1
nxpucs3168,0
nxpucs3169,1
nxpucs3170,1
nxpucs3171,0
nxpucs3172,1
nxpucs3173,0
nxpucs3174,0
nxpucs3175,0
nxpucs3176,0
nxpucs3177,0
nxpucs3178,0
nxpucs3179,0
nxpucs3180,0
nxpucs3181,0
nxpucs3182,1
nxpucs3183,0
nxpucs3184,0
nxpucs3185,0
nxpucs3186,0
nxpucs3187,0
nxpucs3188,0
nxpucs3189,0
nxpucs3190,0
nxpucs3191,1
nxpucs3192,0
nxpucs3193,0
nxpucs3194,1
nxpucs3195,1
nxpucs3196,0
nxpucs3197,0
nxpucs3198,1
nxpucs3199,0
nxpucs3200,1
nxpucs3201,1
nxpucs3202,1
nxpucs3203,0
nxpucs3204,1
nxpucs3205,1
nxpucs3206,0
nxpucs3207,0
nxpucs3208,0
nxpucs3209,1
nxpucs3210,1
nxpucs3211,0
nxpucs3212,0
nxpucs3213,0
nxpucs3214,0
nxpucs3215,0
nxpucs3216,0
nxpucs3217,0
nxpucs3218,1
nxpucs3219,0
nxpucs3220,0
nxpucs3221,0
nxpucs3222,0
nxpucs3223,1
nxpucs3224,0
nxpucs3225,0
nxpucs3226,0
nxpucs3227,0
nxpucs3228,0
nxpucs3229,1
nxpucs3230,0
nxpucs3231,1
nxpucs3232,0
nxpucs3233,0
nxpucs3234,0
nxpucs3235,0
nxpucs3236,0
nxpucs3237,0
nxpucs3238,0
nxpucs3239,0
nxpucs3240,1
nxpucs3241,0
nxpucs3242,0
nxpucs3243,0
nxpucs3244,0
nxpucs3245,1
nxpucs3246,1
nxpucs3247,1
nxpucs3248,0
nxpucs3249,0
nxpucs3250,0
nxpucs3251,0
nxpucs3252,0
nxpucs3253,0
nxpucs3254,0
nxpucs3255,0
nxpucs3256,0
nxpucs3257,1
nxpucs3258,0
nxpucs3259,0
nxpucs3260,0
nxpucs3261,0
nxpucs3262,0
nxpucs3263,1
nxpucs3264,1
nxpucs3265,1
nxpucs3266,1
nxpucs3267,0
nxpucs3268,1
nxpucs3269,1
nxpucs3270,1
nxpucs3271,0
nxpucs3272,0
nxpucs3273,0
nxpucs3274,1
nxpucs3275,0
nxpucs3276,1
nxpucs3277,0
nxpucs3278,0
nxpucs3279,0
nxpucs3280,1
nxpucs3281,1
nxpucs3282,0
nxpucs3283,0
nxpucs3284,0
nxpucs3285,0
nxpucs3286,0
nxpucs3287,0
nxpucs3288,1
nxpucs3289,1
nxpucs3290,0
nxpucs3291,1
nxpucs3292,0
nxpucs3293,0
nxpucs3294,1
nxpucs3295,0
nxpucs3296,0
nxpucs3297,0
nxpucs3298,0
nxpucs3299,1
nxpucs3300,0
nxpucs3301,0
nxpucs3302,1
nxpucs3303,0
nxpucs3304,0
nxpucs3305,0
nxpucs3306,1
nxpucs3307,0
nxpucs3308,0
nxpucs3309,0
nxpucs3310,1
nxpucs3311,0
nxpucs3312,0
nxpucs3313,0
nxpucs3314,0
nxpucs3315,0
nxpucs3316,1
nxpucs3317,0
nxpucs3318,0
nxpucs3319,1
nxpucs3320,1
nxpucs3321,0
nxpucs3322,0
nxpucs3323,1
nxpucs3324,0
nxpucs3325,1
nxpucs3326,0
nxpucs3327,0
nxpucs3328,1
nxpucs3329,0
nxpucs3330,0
nxpucs3331,1
nxpucs3332,1
nxpucs3333,1
nxpucs3334,1
nxpucs3335,0
nxpucs3336,0
nxpucs3337,0
nxpucs3338,0
nxpucs3339,0
nxpucs3340,1
nxpucs3341,1
nxpucs3342,0
nxpucs3343,0
nxpucs3344,0
nxpucs3345,1
nxpucs3346,0
nxpucs3347,1
nxpucs3348,1
nxpucs3349,1
nxpucs3350,0
nxpucs3351,0
nxpucs3352,0
nxpucs3353,1
nxpucs3354,0
nxpucs3355,0
nxpucs3356,0
nxpucs3357,1
nxpucs3358,0
nxpucs3359,0
nxpucs3360,1
nxpucs3361,0
nxpucs3362,1
nxpucs3363,0
nxpucs3364,0
nxpucs3365,1
nxpucs3366,0
nxpucs3367,0
nxpucs3368,0
nxpucs3369,0
nxpucs3370,0
nxpucs3371,0
nxpucs3372,0
nxpucs3373,0
nxpucs3374,0
nxpucs3375,1
nxpucs3376,1
nxpucs3377,0
nxpucs3378,0
nxpucs3379,0
nxpucs3380,0
nxpucs3381,0
nxpucs3382,0
nxpucs3383,1
nxpucs3384,1
nxpucs3385,0
nxpucs3386,1
nxpucs3387,0
nxpucs3388,0
nxpucs3389,0
nxpucs3390,1
nxpucs3391,0
nxpucs3392,1
nxpucs3393,1
nxpucs3394,0
nxpucs3395,0
nxpucs3396,0
nxpucs3397,0
nxpucs3398,0
nxpucs3399,1
nxpucs3400,0
nxpucs3401,1
nxpucs3402,0
nxpucs3403,0
nxpucs3404,0
nxpucs3405,1
nxpucs3406,0
nxpucs3407,1
nxpucs3408,0
nxpucs3409,0
nxpucs3410,0
nxpucs3411,0
nxpucs3412,0
nxpucs3413,0
nxpucs3414,0
nxpucs3415,1
nxpucs3416,0
nxpucs3417,0
nxpucs3418,1
nxpucs3419,0
nxpucs3420,1
nxpucs3421,0
nxpucs3422,0
nxpucs3423,0
nxpucs3424,0
nxpucs3425,0
nxpucs3426,0
nxpucs3427,1
nxpucs3428,1
nxpucs3429,0
nxpucs3430,0
nxpucs3431,1
nxpucs3432,0
nxpucs3433,1
nxpucs3434,1
nxpucs3435,0
nxpucs3436,0
nxpucs3437,0
nxpucs3438,0
nxpucs3439,1
nxpucs3440,1
nxpucs3441,0
nxpucs3442,0
nxpucs3443,1
nxpucs3444,1
nxpucs3445,0
nxpucs3446,1
nxpucs3447,0
nxpucs3448,0
nxpucs3449,0
nxpucs3450,0
nxpucs3451,1
nxpucs3452,0
nxpucs3453,0
nxpucs3454,0
nxpucs3455,0
nxpucs3456,0
nxpucs3457,1
nxpucs3458,0
nxpucs3459,0
nxpucs3460,0
nxpucs3461,0
nxpucs3462,0
nxpucs3463,1
